,,,All Values Hourly - First Order,,,,,,,,,,,,,,,,,,,,
1,0.104716769,0.63098712,0.275818495,0.088993734,0.009333211,0.05043002,0.097445712,0.056134838,0.074283937,0.019651118,0.004063657,0.050237362,0.026940013,0.081519316,0.042552448,0.003178857,0.024414052,0.054611413,0.06988848,0.061497153,0.065361017,0.044136525,0.051585968
2,0.087032273,0.584818444,0.259154209,0.092212564,0.008028604,0.035779558,0.114241497,0.050723682,0.073103893,0.020268311,0.002133061,0.03965208,0.013488225,0.050512068,0.028842878,0.001845267,0.017652772,0.035233596,0.038682891,0.042271851,0.043782769,0.02804298,0.029405769
3,0.070311239,0.510531262,0.264956859,0.116598483,0.007398935,0.027227511,0.143417843,0.051877972,0.096271582,0.014494129,0.000754606,0.035143755,0.009648515,0.040302602,0.021209648,0.002838078,0.012443879,0.026135943,0.034716619,0.038000816,0.028651296,0.023924331,0.024645715
4,0.054643617,0.412544242,0.276256632,0.132962787,0.004856652,0.020441133,0.168365623,0.046075418,0.115349261,0.01060729,0.000577575,0.026051144,0.007588833,0.025845226,0.010496798,0.001767882,0.00671996,0.019773154,0.020591804,0.02022517,0.026282174,0.014690494,0.016789854
5,0.034794767,0.267384743,0.272625956,0.159761348,0.002945791,0.010405912,0.219875891,0.047190044,0.068983797,0.005037175,0.00073326,0.012975509,0.003162581,0.014830974,0.004699238,0.001517529,0.002320926,0.009895818,0.0096599,0.012427158,0.010699215,0.005464379,0.006879889
6,0.03884987,0.279804038,0.378187784,0.092901863,0.000829018,0.006839401,0.143554881,0.02312961,0.063057204,0.001233165,0.000808293,0.006331627,0.001264253,0.014414556,0.001834203,6.22E-05,0.000652852,0.001575135,0.001150263,0.005129551,0.001834203,0.001854928,0.000922283
7,0.046478571,0.263699281,0.46705043,0.059874465,0.000799313,0.009458537,0.094511362,0.027487486,0.094807403,0.000888126,0.002235116,0.004559045,0.003493294,0.029115716,0.002753189,2.96E-05,0.000532875,0.007815505,0.001213772,0.0070754,0.001243376,0.002323929,0.000888126
8,0.053566094,0.190844864,0.491881302,0.026156857,0.001055578,0.006816527,0.034225764,0.155420393,0.091638455,0.000876666,0.003614012,0.00515265,0.006512377,0.03853753,0.003631903,0.000143129,0.000840884,0.019859173,0.001699659,0.007675302,0.002146938,0.002880475,0.001234489
9,0.052956959,0.092763533,0.4478578,0.01494439,0.0009647,0.00775145,0.017195357,0.366721442,0.061825431,0.000693907,0.004248065,0.005940522,0.009223887,0.037995645,0.004569632,0.000118472,0.000829304,0.029025626,0.002504835,0.007869922,0.002538685,0.002911025,0.001286267
10,0.044195067,0.048766467,0.364163849,0.014619717,0.001036963,0.00591507,0.011611064,0.547954571,0.027399189,0.000613415,0.004527585,0.004659031,0.008222678,0.034409643,0.003665883,7.30E-05,0.000496574,0.029356274,0.001986295,0.007507027,0.00259971,0.002774971,0.001007753
11,0.046237564,0.066275145,0.313722331,0.012142409,0.000925012,0.006084233,0.01048781,0.621125919,0.01401849,0.000260567,0.004195124,0.003934557,0.010214215,0.034003957,0.002788064,2.61E-05,0.000586275,0.030733845,0.003035602,0.006865933,0.003283141,0.002136647,0.00148523
12,0.041677765,0.118126559,0.260806448,0.011380688,0.001400335,0.005197853,0.01107214,0.639229163,0.011309485,0.000249212,0.002990546,0.003975527,0.008983505,0.031685545,0.002753201,1.19E-05,0.000415354,0.029774918,0.004580757,0.007274621,0.004272208,0.001898759,0.002278511
13,0.034114831,0.219750319,0.191757439,0.007716905,0.001356189,0.006561279,0.008777024,0.613083239,0.013313571,0.000248316,0.002989345,0.004517445,0.00947422,0.029922107,0.0030562,3.82E-05,0.000573037,0.02110688,0.003438225,0.006217457,0.003333168,0.002024732,0.002588219
14,0.039475851,0.288942314,0.175651026,0.005255498,0.001118972,0.008942601,0.007254972,0.564438625,0.023305794,0.00033936,0.00289832,0.004925309,0.009043492,0.03072586,0.003210164,3.67E-05,0.000568658,0.018545578,0.003063414,0.006768861,0.002247115,0.002604819,0.002604819
15,0.065271385,0.357968401,0.210560874,0.003450513,0.000994384,0.01048081,0.006175126,0.444430116,0.043902067,0.000238652,0.001988769,0.004067032,0.009784741,0.036513791,0.003838323,7.96E-05,0.000497192,0.012509354,0.003022928,0.007040241,0.002257252,0.003231749,0.003579783
16,0.099663252,0.450885153,0.218314656,0.004133408,0.001060352,0.012891129,0.005792663,0.279019797,0.062069853,0.000451631,0.001286167,0.005812299,0.010583882,0.038909021,0.006097023,7.85E-05,0.000589084,0.006745016,0.002709788,0.009052263,0.002169794,0.005203578,0.003711231
17,0.165595125,0.4774967,0.227300336,0.00139101,0.000612044,0.013706087,0.0018825,0.094069381,0.094820527,0.000426576,0.000500764,0.005656775,0.010098734,0.043380971,0.006361553,8.35E-05,0.000556404,0.00267074,0.001678486,0.009737071,0.001289003,0.006101898,0.001928867
18,0.299207027,0.275438313,0.331338943,0.008596729,0.005538979,0.031978663,0.01686506,0.032299763,0.148800763,0.003488316,0.001474142,0.013851096,0.025264749,0.060045742,0.021630479,0.00061301,0.004918672,0.023710332,0.024418213,0.033058728,0.023805203,0.021550204,0.018820852
19,0.378909606,0.134161084,0.490002395,0.01342921,0.003808842,0.032220746,0.01662976,0.020391811,0.121452465,0.003378359,0.001207225,0.014842319,0.029562979,0.063655391,0.031322346,0.0006738,0.005493342,0.027129812,0.030667262,0.036956063,0.027466712,0.030367795,0.024247445
20,0.451003645,0.091169262,0.498295437,0.02551448,0.003786083,0.033585586,0.019458704,0.020769647,0.169698682,0.0056351,0.004637218,0.019497837,0.025690576,0.107340824,0.033477971,0.002719718,0.008325469,0.033693201,0.035366121,0.042351297,0.030200613,0.039895724,0.025719926
21,0.408682116,0.124709446,0.459661482,0.03248927,0.006687032,0.047080654,0.037745129,0.03715292,0.179151593,0.013489216,0.007147639,0.037671103,0.046932601,0.120588655,0.049720921,0.003775335,0.024634269,0.052278937,0.047557711,0.055486738,0.055766393,0.048585853,0.044637789
22,0.336347163,0.293008717,0.425583433,0.051582956,0.005487435,0.080548277,0.042932365,0.061815125,0.168245714,0.019769726,0.005038609,0.059052707,0.085036539,0.162565925,0.079479643,0.004034093,0.032363576,0.08716312,0.114685785,0.105388671,0.108829672,0.08227412,0.066292701
23,0.267247784,0.492865325,0.369694521,0.109281916,0.00718321,0.108618228,0.095741059,0.087416629,0.17160385,0.035406143,0.008279914,0.087538036,0.087343786,0.181547031,0.107290851,0.00578299,0.045713543,0.117282595,0.12278635,0.134129752,0.121548005,0.097974936,0.082451109
24,0.182206818,0.647209159,0.301145937,0.100937341,0.011645843,0.090424571,0.107316742,0.088664621,0.125154258,0.032302631,0.007160484,0.09205043,0.065248901,0.145321612,0.081091806,0.006164855,0.039486581,0.10043785,0.108024074,0.117283089,0.115838254,0.082275163,0.100444555
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,bld_height,ver_to_hor,bld_density,glazing_ratio,wall_u_value,,,,,,,,,,,,,,,,,,
1,0.104716769,0.63098712,0.275818495,0.056134838,0.074283937,,,,,,,,,,,,,,,,,,
2,0.087032273,0.584818444,0.259154209,0.050723682,0.073103893,,,,,,,,,,,,,,,,,,
3,0.070311239,0.510531262,0.264956859,0.051877972,0.096271582,,,,,,,,,,,,,,,,,,
4,0.054643617,0.412544242,0.276256632,0.046075418,0.115349261,,,,,,,,,,,,,,,,,,
5,0.034794767,0.267384743,0.272625956,0.047190044,0.068983797,,,,,,,,,,,,,,,,,,
6,0.03884987,0.279804038,0.378187784,0.02312961,0.063057204,,,,,,,,,,,,,,,,,,
7,0.046478571,0.263699281,0.46705043,0.027487486,0.094807403,,,,,,,,,,,,,,,,,,
8,0.053566094,0.190844864,0.491881302,0.155420393,0.091638455,,,,,,,,,,,,,,,,,,
9,0.052956959,0.092763533,0.4478578,0.366721442,0.061825431,,,,,,,,,,,,,,,,,,
10,0.044195067,0.048766467,0.364163849,0.547954571,0.027399189,,,,,,,,,,,,,,,,,,
11,0.046237564,0.066275145,0.313722331,0.621125919,0.01401849,,,,,,,,,,,,,,,,,,
12,0.041677765,0.118126559,0.260806448,0.639229163,0.011309485,,,,,,,,,,,,,,,,,,
13,0.034114831,0.219750319,0.191757439,0.613083239,0.013313571,,,,,,,,,,,,,,,,,,
14,0.039475851,0.288942314,0.175651026,0.564438625,0.023305794,,,,,,,,,,,,,,,,,,
15,0.065271385,0.357968401,0.210560874,0.444430116,0.043902067,,,,,,,,,,,,,,,,,,
16,0.099663252,0.450885153,0.218314656,0.279019797,0.062069853,,,,,,,,,,,,,,,,,,
17,0.165595125,0.4774967,0.227300336,0.094069381,0.094820527,,,,,,,,,,,,,,,,,,
18,0.299207027,0.275438313,0.331338943,0.032299763,0.148800763,,,,,,,,,,,,,,,,,,
19,0.378909606,0.134161084,0.490002395,0.020391811,0.121452465,,,,,,,,,,,,,,,,,,
20,0.451003645,0.091169262,0.498295437,0.020769647,0.169698682,,,,,,,,,,,,,,,,,,
21,0.408682116,0.124709446,0.459661482,0.03715292,0.179151593,,,,,,,,,,,,,,,,,,
22,0.336347163,0.293008717,0.425583433,0.061815125,0.168245714,,,,,,,,,,,,,,,,,,
23,0.267247784,0.492865325,0.369694521,0.087416629,0.17160385,,,,,,,,,,,,,,,,,,
24,0.182206818,0.647209159,0.301145937,0.088664621,0.125154258,,,,,,,,,,,,,,,,,,
