6,"	2.83",16.98,0.49,0.36,3,584.81,125.25,0.176393544,
7,"	2.8",19.6,0.27,0.14,2.72,1.292.26,318.83,#VALUE!,
6,"	2.8",16.8,0.36,0.27,2.7,597.45,305.89,0.338621117,
5,"	2.88",14.4,2,0.62,2.9,471.91,216.27,0.31426371,
5,"	3.08",15.4,1.11,0.43,3,604.6,168.8,0.218257047,
7,"	2.91",20.37,0.45,0.29,1.72,1.145.27,256.87,#VALUE!,
6,"	3",18,0.2,0.58,1.7,935.95,395.53,0.297060414,
5,"	2.9",14.5,1.52,0.31,2.04,430.15,294.33,0.406263803,
5,"	2.86",14.3,1.9,0.5,3,823.52,217.65,0.209043672,
6,"	2.78",16.68,0.49,0.5,2.7,790.04,249.68,0.240141577,
6,"	2.85",17.1,0.36,0.35,2.1,847.01,498.51,0.370496165,
5,"	2.8",14,1.46,0.43,2.7,445.65,126.12,0.220578205,
5,"	3",15,1.46,0.43,2.9,546.63,230.57,0.296667524,
6,"	2.8",16.8,0.63,0.36,2,609.23,103.42,0.145120326,
6,"	2.75",16.5,0.35,0.36,2.1,696.68,61.25,0.080812212,
6,"	2.96",17.76,0.78,1.49,3.39,675.97,409.92,0.3774968,
6,"	2.87",17.22,0.28,0.43,2.9,875.77,169.06,0.161806227,
5,"	2.8",14,0.34,0.39,1.7,919.91,487.41,0.346339141,
6,"	2.7",16.2,0.47,0.32,1.5,876.46,348.55,0.28452829,
5,"	2.86",14.3,1.32,0.51,3,540.71,251.48,0.317449097,
6,"	2.88",17.28,1.35,0.43,3,709.19,323.72,0.313405815,
6,"	2.64",15.84,1.46,0.51,2.9,559.57,253.35,0.311654283,
5,"	3.01",15.05,0.49,0.61,2.9,662.31,175.71,0.2096728,
6,"	2.85",17.1,0.49,0.47,2.9,714.78,155.43,0.178612059,
5,"	2.88",14.4,1.44,0.46,2.9,472.88,222.92,0.320379419,
4,"	3",12,1.19,3.6,2.9,446.27,132.94,0.229519518,
6,"	2.8",16.8,0.36,0.27,2.7,597.45,305.89,0.338621117,
5,"	2.76",13.8,1.46,0.43,3,423.09,220.98,0.343099353,
6,"	2.87",17.22,1.42,0.43,2.7,81.27,215.66,0.726299128,
6,"	3.02",18.12,0.38,0.35,1.28,854.62,323.7,0.274713151,
5,"	2.74",13.7,2.25,0.39,2.7,580.31,129.46,0.182397115,
5,"	2.96",14.8,0.68,0.44,2.9,748.77,209.09,0.218288685,
7,"	2.8",19.6,0.46,0.43,2.7,719.48,363.17,0.335445435,
6,"	3.08",18.48,0.68,0.44,2.9,872.95,145.79,0.143108153,
5,"	3.2",16,0.49,0.64,2.89,864.26,193.49,0.182926022,
5,"	2.76",13.8,0.49,0.43,2.9,399.06,183.64,0.315153595,
6,"	2.79",16.74,0.41,0.29,2.5,548.99,252.32,0.314884377,
5,"	2.87",14.35,1.46,0.43,3,412.21,255.89,0.383011525,
5,"	2.8",14,0.67,0.39,1.7,438.17,200.22,0.313632732,
6,"	3",18,1.46,0.43,2.7,667.33,282.16,0.29717006,
5,"	2.86",14.3,1.53,0.31,2,516.62,183.11,0.261686651,
6,"	2.82",16.92,0.31,0.46,2.6,630.48,152.36,0.1946247,
6,"	2.95",17.7,0.67,3.44,3,617.51,304.39,0.330176809,
6,"	2.8",16.8,0.38,0.5,1.9,451.82,270.64,0.374608975,
5,"	3",15,0.61,0.55,2.53,639.01,176.82,0.21673633,
5,"	2.8",14,0.68,0.44,2.9,706.31,121.8,0.147081909,
5,"	2.91",14.55,1.13,0.44,2.9,701.78,155.18,0.181081964,
5,"	3",15,1.29,0.58,2.7,606.7,342.58,0.360884038,
5,"	3.01",15.05,0.91,0.59,2.9,554.51,199.05,0.264146186,
6,"	2.95",17.7,0.51,0.27,3,784.22,237.74,0.232631414,
6,"	2.8",16.8,0.67,0.35,2.92,618.15,240.05,0.279713354,
6,"	2.88",17.28,1.26,2.92,3,629.31,273.97,0.30330573,
7,"	2.8",19.6,0.27,0.14,3.01,728.61,229.53,0.239557893,
6,"	2.9",17.4,1.52,1.73,2.05,654.61,291.63,0.308198766,
8,"	3.06",24.48,0.52,0.33,1.3,1618.86,209.24,0.114457634,
6,"	2.89",17.34,1.26,0.31,3,716.35,185.67,0.205838008,
4,"	3.53",14.12,0.33,0.27,2.7,322.48,136.5,0.297398579,
6,"	3",18,1.35,0.3,2,967.69,121.4,0.111469208,
7,"	2.78",19.46,0.33,0.31,2.85,621.52,198.83,0.242372158,
6,"	2.97",17.82,0.39,0.31,2.7,905.34,359.23,0.284072847,
7,"	2.8",19.6,0.3,1.51,2.7,565.87,204.73,0.265676097,
7,"	2.65",18.55,0.34,0.47,2.9,718.62,80.15,0.100341775,
5,"	2.8",14,0.68,0.44,2.9,565.37,149.93,0.209604362,
5,"	3.05",15.25,1.15,3.2,2.9,412.49,135.94,0.247871196,
6,"	2.83",16.98,0.39,0.65,1.7,917.61,189.61,0.171248713,
5,"	3",15,1.87,0.52,3,582.56,222.84,0.276682394,
5,"	2.96",14.8,0.42,0.39,2.7,375.23,191.87,0.338335391,
6,"	2.94",17.64,1.56,0.35,2.9,778.53,177.56,0.185714734,
